0.000	0	235
124.655	0.1	231
256.804	0.3	227
386.691	0.4	223
514.395	0.6	218
639.930	0.7	215
763.397	0.8	211
884.881	1	208
1004.396	1.1	204
1122.041	1.2	201
1237.857	1.4	197
1351.882	1.5	194
1464.191	1.6	191
1574.826	1.8	188
1683.829	1.9	185
1791.238	2	182
1897.105	2.1	180
2001.473	2.3	177
2104.381	2.4	175
2205.863	2.5	172
2305.956	2.7	170
2404.699	2.8	167
2502.128	2.9	165
2598.279	3	163
2693.166	3.2	161
2786.839	3.3	159
2879.320	3.4	157
2970.636	3.5	154
3060.820	3.7	153
3149.893	3.8	151
3237.882	3.9	149
3324.819	4	147
3410.715	4.2	145
3495.603	4.3	144
3579.504	4.4	142
3662.440	4.5	140
3744.431	4.7	139
3825.495	4.8	137
3905.656	4.9	135
3984.931	5	134
4063.340	5.1	132
4140.902	5.3	131
4217.632	5.4	130
4293.546	5.5	128
4368.663	5.6	127
4443.000	5.7	126
