0.000	0	∞
44.307	0.1	∞
93.332	0.2	∞
140.587	0.3	∞
186.418	0.3	∞
230.878	0.4	∞
274.019	0.5	∞
315.904	0.6	∞
356.624	0.7	∞
396.235	0.7	∞
434.794	0.8	∞
472.349	0.9	∞
508.938	1	∞
544.620	1.1	∞
579.441	1.1	∞
613.433	1.2	∞
646.623	1.3	∞
679.067	1.4	∞
710.773	1.4	∞
741.795	1.5	∞
772.138	1.6	∞
801.848	1.7	∞
830.942	1.7	∞
859.440	1.8	∞
887.372	1.9	∞
914.758	1.9	∞
941.617	2	∞
967.965	2.1	∞
993.821	2.2	∞
1019.204	2.2	∞
1044.131	2.3	∞
1068.616	2.4	∞
1092.674	2.4	∞
1116.317	2.5	∞
1139.560	2.6	∞
1162.418	2.6	∞
1184.901	2.7	∞
1207.023	2.8	∞
1228.787	2.8	∞
1250.213	2.9	∞
1271.309	3	∞
1292.078	3	∞
1312.539	3.1	∞
1332.694	3.2	∞
1352.555	3.2	∞
1372.127	3.3	∞
1391.422	3.4	∞
1410.443	3.4	∞
1429.202	3.5	∞
1447.701	3.6	∞
1465.950	3.6	∞
1483.956	3.7	∞
1501.723	3.7	∞
1519.256	3.8	∞
1536.564	3.9	∞
1553.652	3.9	∞
1570.524	4	∞
1587.184	4.1	∞
1603.638	4.1	∞
1619.893	4.2	∞
1635.951	4.2	∞
1651.818	4.3	∞
1667.498	4.4	∞
1682.994	4.4	∞
1698.312	4.5	∞
1713.454	4.5	∞
1728.425	4.6	∞
1743.229	4.7	∞
1757.869	4.7	∞
1772.348	4.8	∞
1786.670	4.8	∞
1800.837	4.9	∞
1814.853	4.9	∞
1828.722	5	∞
1842.446	5.1	∞
1856.028	5.1	∞
1869.470	5.2	∞
1882.776	5.2	∞
1895.949	5.3	∞
1908.989	5.3	∞
1921.901	5.4	∞
1934.687	5.5	∞
1947.347	5.5	∞
1959.888	5.6	∞
1972.307	5.6	∞
1984.610	5.7	∞
1996.796	5.7	∞
2008.870	5.8	∞
2020.833	5.8	∞
2032.686	5.9	∞
2044.431	6	∞
2056.072	6	∞
2067.607	6.1	∞
2079.042	6.1	∞
2090.375	6.2	∞
2101.610	6.2	∞
2112.748	6.3	∞
2123.790	6.3	∞
2134.739	6.4	∞
2145.595	6.4	∞
2156.360	6.5	∞
2167.035	6.5	∞
2177.623	6.6	∞
2188.123	6.7	∞
2198.538	6.7	∞
2208.870	6.8	∞
2219.118	6.8	∞
2229.285	6.9	∞
2239.371	6.9	∞
2249.378	7	∞
2259.307	7	∞
2269.159	7.1	∞
2278.936	7.1	∞
2288.638	7.2	∞
2298.266	7.2	∞
2307.822	7.3	∞
2317.306	7.3	∞
2326.720	7.4	∞
2336.064	7.4	∞
2345.340	7.5	∞
2354.548	7.5	∞
2363.689	7.6	∞
