0.000	0	∞
111.558	0.1	∞
227.890	0.3	∞
339.857	0.4	∞
447.769	0.5	∞
551.838	0.6	∞
652.399	0.8	∞
749.628	0.9	∞
843.751	1	∞
934.912	1.1	∞
1023.314	1.3	∞
1109.104	1.4	∞
1192.425	1.5	∞
1273.409	1.6	∞
1352.179	1.7	∞
1428.830	1.9	∞
1503.491	2	∞
1576.246	2.1	∞
1647.193	2.2	∞
1716.403	2.3	∞
1783.969	2.4	∞
1849.959	2.5	∞
1914.442	2.6	∞
1977.481	2.7	∞
2039.136	2.9	∞
2099.466	3	∞
2158.525	3.1	∞
2216.366	3.2	∞
2273.029	3.3	∞
2328.564	3.4	∞
2383.014	3.5	∞
2436.416	3.6	∞
2488.810	3.7	∞
2540.235	3.8	∞
2590.717	3.9	∞
2640.295	4	∞
2688.999	4.1	∞
2736.858	4.2	∞
2783.899	4.3	∞
2830.149	4.4	∞
2875.633	4.5	∞
2920.376	4.6	∞
2964.400	4.7	∞
3007.728	4.8	∞
3050.382	4.9	∞
3092.377	5	∞
3133.739	5.1	∞
3174.482	5.2	∞
3214.625	5.3	∞
3254.186	5.4	∞
3293.179	5.5	∞
3331.621	5.6	∞
3369.528	5.7	∞
3406.911	5.8	∞
3443.787	5.9	∞
3480.169	5.9	∞
3516.069	6	∞
3551.497	6.1	∞
3586.469	6.2	∞
3620.993	6.3	∞
3655.083	6.4	∞
3688.748	6.5	∞
3721.998	6.6	∞
3754.843	6.7	∞
3787.293	6.8	∞
3819.358	6.9	∞
3851.044	6.9	∞
3882.361	7	∞
3913.319	7.1	∞
3943.926	7.2	∞
3974.186	7.3	∞
4004.110	7.4	∞
4033.705	7.5	∞
4062.976	7.5	∞
4091.933	7.6	∞
4120.579	7.7	∞
4148.924	7.8	∞
4176.970	7.9	∞
4204.728	8	∞
4232.200	8.1	∞
4259.393	8.1	∞
4286.314	8.2	∞
4312.965	8.3	∞
4339.354	8.4	∞
4365.485	8.5	∞
4391.364	8.6	∞
4416.993	8.6	∞
4442.380	8.7	∞
4467.527	8.8	∞
4492.440	8.9	∞
